                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.569,                 3.9506,                 1.5893,                0.06888,                0.05097,                0.05092,                0.03795,                 1.4566,                 7.9835,                 1.4565,               8.82e-05,               8.82e-05,               8.82e-05
                      2,                 1.3254,                 2.7536,                 1.4233,                0.22904,                0.08196,                0.03176,                0.02217,                 1.4026,                 3.9221,                 1.4177,             0.00017326,             0.00017326,             0.00017326
                      3,                 1.2264,                 2.2213,                 1.3187,                0.60505,                0.16506,                0.12619,                0.07677,                 1.3897,                 3.2363,                 1.3439,               0.000249,               0.000249,               0.000249
                      4,                 1.1636,                 2.0394,                  1.272,                 0.4226,                0.13156,                0.14136,                 0.0993,                 1.3258,                 3.1121,                  1.319,             0.00031543,             0.00031543,             0.00031543
                      5,                 1.0372,                 1.7593,                 1.2024,                0.39942,                0.16135,                0.14272,                0.09552,                 1.3639,                 2.9844,                 1.3484,             0.00037255,             0.00037255,             0.00037255
                      6,                 1.0397,                 1.5833,                 1.1838,                 0.5123,                0.16118,                 0.1357,                0.08793,                 1.3731,                 2.8276,                 1.4279,             0.00042035,             0.00042035,             0.00042035
                      7,                 1.0587,                 1.5305,                 1.2047,                0.13374,                0.24967,                0.16443,                0.10935,                 1.3015,                 2.5769,                 1.3215,             0.00041336,             0.00041336,             0.00041336
                      8,                  1.033,                 1.4668,                 1.1678,                0.26198,                0.25716,                0.20397,                0.12804,                 1.3306,                 2.3736,                 1.3496,             0.00038426,             0.00038426,             0.00038426
                      9,                0.94633,                 1.3003,                 1.1269,                 0.2827,                0.20536,                0.19142,                0.12979,                  1.301,                 2.3422,                 1.3214,             0.00035515,             0.00035515,             0.00035515
                     10,                0.96133,                 1.2394,                 1.1433,                0.39381,                 0.2444,                0.19513,                0.12867,                 1.2874,                 2.4112,                 1.2801,             0.00032605,             0.00032605,             0.00032605
                     11,                0.91176,                  1.274,                 1.1445,                0.32255,                0.19417,                0.19843,                 0.1314,                  1.291,                 2.3896,                 1.3144,             0.00029694,             0.00029694,             0.00029694
                     12,                0.87015,                  1.207,                 1.1337,                0.17931,                0.23309,                0.21594,                0.14243,                 1.2829,                 2.2352,                   1.31,             0.00026783,             0.00026783,             0.00026783
                     13,                0.85987,                 1.0859,                 1.1043,                0.19389,                0.27651,                 0.2141,                0.13926,                 1.2786,                 2.1598,                 1.2928,             0.00023873,             0.00023873,             0.00023873
                     14,                 0.8184,                0.98419,                  1.071,                0.23428,                0.25552,                 0.2231,                0.14067,                  1.308,                 2.2106,                 1.3208,             0.00020962,             0.00020962,             0.00020962
                     15,                0.79955,                0.91365,                  1.066,                 0.2645,                0.23307,                0.23097,                0.14505,                 1.2864,                 2.2086,                 1.3046,             0.00018052,             0.00018052,             0.00018052
                     16,                0.80155,                0.90138,                 1.0693,                0.19141,                0.30758,                0.25754,                0.16152,                  1.265,                 2.0814,                 1.2727,             0.00015141,             0.00015141,             0.00015141
                     17,                0.76775,                0.85646,                  1.045,                 0.1963,                0.31396,                0.24694,                0.15485,                 1.2627,                 2.1578,                 1.2816,              0.0001223,              0.0001223,              0.0001223
                     18,                0.74882,                0.79355,                 1.0321,                0.19601,                0.27578,                0.21194,                0.14173,                 1.2638,                 2.2845,                 1.2931,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     19,                0.73325,                0.80236,                 1.0397,                0.24665,                0.30415,                0.23494,                0.15333,                 1.2614,                 2.2129,                 1.2851,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     20,                0.72909,                0.74061,                 1.0074,                0.35595,                0.31929,                0.24727,                0.16816,                 1.2495,                 2.1517,                  1.275,             3.4986e-05,             3.4986e-05,             3.4986e-05
